ROIid;ROIabbr;ROIname
121;ltAV;Left Thalamus-Anteroventral Nucleus
122;rtAV;Right Thalamus-Anteroventral Nucleus
123;ltLP;Left Lateral posterior
124;rtLP;Right Lateral posterior
125;ltVA;Left Ventral anterior
126;rtVA;Right Ventral anterior
127;ltVL;Left Ventral lateral
128;rtVL;Right Ventral lateral
129;ltVPL;Left Ventral posterolateral
130;rtVPL;Right Ventral posterolateral
131;ltIL;Left Intralaminar
132;rtIL;Right Intralaminar
133;ltRe;Left Reuniens
134;rtRe;Right Reuniens
135;ltMDm;Left Mediodorsal medial magnocellular
136;rtMDm;Right Mediodorsal medial magnocellular
137;ltMDl;Left Mediodorsal lateral parvocellular
138;rtMDl;Right Mediodorsal lateral parvocellular
139;ltLGN;Left Lateral geniculate
140;rtLGN;Right Lateral geniculate
141;ltMGN;Left Medial Geniculate
142;rtMGN;Right Medial Geniculate
143;ltPuA;Left Pulvinar anterior
144;rtPuA;Right Pulvinar anterior
145;ltPuM;Left Pulvinar medial
146;rtPuM;Right Pulvinar medial
147;ltPuL;Left Pulvinar lateral
148;rtPuL;Right Pulvinar lateral
149;ltPuI;Left Pulvinar inferior
150;rtPuI;Right Pulvinar inferior
151;lACCsub;Left Anterior cingulate cortex-subgenual
152;rACCsub;Right Anterior cingulate cortex-subgenual
153;lACCpre;Left Anterior cingulate cortex-pregenual
154;rACCpre;Right Anterior cingulate cortex-pregenual
155;lACCsup;Left Anterior cingulate cortex-supracallosal
156;rACCsup;Right Anterior cingulate cortex-supracallosal
157;lNacc;Left Nucleus accumbens
158;rNacc;Right Nucleus accumbens
159;lVTA;Left Ventral tegmental area
160;rVTA;Right Ventral tegmental area
161;lSNpc;Left Substantia nigra-pars compacta
162;rSNpc;Right Substantia nigra-pars compacta
163;lSNpr;Left Substantia nigra-pars reticulata
164;rSNpr;Right Substantia nigra-pars reticulata
165;lRedN;Left Red nucleus
166;rRedN;Right Red nucleus
167;lLC;Left Locus coeruleus
168;rLC;Right Locus coeruleus
113;VER1_2;Lobule I-II of vermis
114;VER3;Lobule III of vermis
115;VER4_5;Lobule IV-V of vermis
116;VER6;Lobule VI of vermis
117;VER7;Lobule VII of vermis
118;VER8;Lobule VIII of vermis
119;VER9;Lobule IX of vermis
120;VER10;Lobule X of vermis
169;RapheD;Raphe nucleus-dorsal
170;RapheM;Raphe nucleus-median
