ROIid;ROIabbr;ROIname;ROIoname
48;r6ma;Right Area 6ma (preSMA, mesial SFG);6ma (preSMA, mesial SFG)
49;lTI;Left Area TI (STG);TI (STG)
50;rTI;Right Area TI (STG);TI (STG)
51;lPFt;Left Area PFt (IPL);PFt (IPL)
52;rPFt;Right Area PFt (IPL);PFt (IPL)
53;lp24ab;Left Area p24ab (pACC);p24ab (pACC)
54;rp24ab;Right Area p24ab (pACC);p24ab (pACC)
55;lp24c;Left Area p24c (pACC);p24c (pACC)
56;rp24c;Right Area p24c (pACC);p24c (pACC)
57;lhOc3v;Left Area hOc3v (LingG);hOc3v (LingG)
58;rhOc3v;Right Area hOc3v (LingG);hOc3v (LingG)
59;lTE3;Left Area TE 3 (STG);TE 3 (STG)
60;rTE3;Right Area TE 3 (STG);TE 3 (STG)
61;lPFcm;Left Area PFcm (IPL);PFcm (IPL)
62;rPFcm;Right Area PFcm (IPL);PFcm (IPL)
63;lGapF-O;Left GapMap Frontal-to-Occipital (GapMap);GapMap Frontal-to-Occipital (GapMap)
64;rGapF-O;Right GapMap Frontal-to-Occipital (GapMap);GapMap Frontal-to-Occipital (GapMap)
65;l7P;Left Area 7P (SPL);7P (SPL)
66;r7P;Right Area 7P (SPL);7P (SPL)
67;lhIP5;Left Area hIP5 (IPS);hIP5 (IPS)
68;rhIP5;Right Area hIP5 (IPS);hIP5 (IPS)
69;l6d1;Left Area 6d1 (PreCG);6d1 (PreCG)
70;r6d1;Right Area 6d1 (PreCG);6d1 (PreCG)
71;lFG1;Left Area FG1 (FusG);FG1 (FusG)
72;rFG1;Right Area FG1 (FusG);FG1 (FusG)
73;lhIP4;Left Area hIP4 (IPS);hIP4 (IPS)
74;rhIP4;Right Area hIP4 (IPS);hIP4 (IPS)
75;lOP6;Left Area OP6 (Frontal Operculum);OP6 (Frontal Operculum)
76;rOP6;Right Area OP6 (Frontal Operculum);OP6 (Frontal Operculum)
77;lFG2;Left Area FG2 (FusG);FG2 (FusG)
78;rFG2;Right Area FG2 (FusG);FG2 (FusG)
79;lhIP6;Left Area hIP6 (IPS);hIP6 (IPS)
80;rhIP6;Right Area hIP6 (IPS);hIP6 (IPS)
81;lhIP3;Left Area hIP3 (IPS);hIP3 (IPS)
82;rhIP3;Right Area hIP3 (IPS);hIP3 (IPS)
83;lFo5;Left Area Fo5 (OFC);Fo5 (OFC)
84;rFo5;Right Area Fo5 (OFC);Fo5 (OFC)
85;lCM;Left CM (Amygdala);CM (Amygdala)
86;rCM;Right CM (Amygdala);CM (Amygdala)
87;lOP7;Left Area OP7 (Frontal Operculum);OP7 (Frontal Operculum)
88;rOP7;Right Area OP7 (Frontal Operculum);OP7 (Frontal Operculum)
89;l4p;Left Area 4p (PreCG);4p (PreCG)
90;r4p;Right Area 4p (PreCG);4p (PreCG)
91;l33;Left Area 33 (ACC);33 (ACC)
92;r33;Right Area 33 (ACC);33 (ACC)
93;lhOc6;Left Area hOc6 (POS);hOc6 (POS)
94;rhOc6;Right Area hOc6 (POS);hOc6 (POS)
95;lIg2;Left Area Ig2 (Insula);Ig2 (Insula)
96;rIg2;Right Area Ig2 (Insula);Ig2 (Insula)
97;lCA2;Left CA2 (Hippocampus);CA2 (Hippocampus)
98;rCA2;Right CA2 (Hippocampus);CA2 (Hippocampus)
99;lFp2;Left Area Fp2 (FPole);Fp2 (FPole)
100;rFp2;Right Area Fp2 (FPole);Fp2 (FPole)
101;lEC;Left Entorhinal Cortex;Entorhinal Cortex
102;rEC;Right Entorhinal Cortex;Entorhinal Cortex
103;lId4;Left Area Id4 (Insula);Id4 (Insula)
104;rId4;Right Area Id4 (Insula);Id4 (Insula)
105;lId2;Left Area Id2 (Insula);Id2 (Insula)
106;rId2;Right Area Id2 (Insula);Id2 (Insula)
107;lCA1;Left CA1 (Hippocampus);CA1 (Hippocampus)
108;rCA1;Right CA1 (Hippocampus);CA1 (Hippocampus)
109;lOP1;Left Area OP1 (POperc);OP1 (POperc)
110;rOP1;Right Area OP1 (POperc);OP1 (POperc)
111;lId6;Left Area Id6 (Insula);Id6 (Insula)
112;rId6;Right Area Id6 (Insula);Id6 (Insula)
113;lhIP8;Left Area hIP8 (IPS);hIP8 (IPS)
114;rhIP8;Right Area hIP8 (IPS);hIP8 (IPS)
115;lOP9;Left Area OP9 (Frontal Operculum);OP9 (Frontal Operculum)
116;rOP9;Right Area OP9 (Frontal Operculum);OP9 (Frontal Operculum)
117;lGapT-P;Left GapMap Temporal-to-Parietal (GapMap);GapMap Temporal-to-Parietal (GapMap)
118;rGapT-P;Right GapMap Temporal-to-Parietal (GapMap);GapMap Temporal-to-Parietal (GapMap)
119;l6d3;Left Area 6d3 (SFS);6d3 (SFS)
120;r6d3;Right Area 6d3 (SFS);6d3 (SFS)
121;lVDN;Left Ventral Dentate Nucleus (Cerebellum);Ventral Dentate Nucleus (Cerebellum)
122;rVDN;Right Ventral Dentate Nucleus (Cerebellum);Ventral Dentate Nucleus (Cerebellum)
123;lHATA;Left HATA (Hippocampus);HATA (Hippocampus)
124;rHATA;Right HATA (Hippocampus);HATA (Hippocampus)
125;lhIP2;Left Area hIP2 (IPS);hIP2 (IPS)
126;rhIP2;Right Area hIP2 (IPS);hIP2 (IPS)
127;l44;Left Area 44 (IFG);44 (IFG)
128;r44;Right Area 44 (IFG);44 (IFG)
129;lFo7;Left Area Fo7 (OFC);Fo7 (OFC)
130;rFo7;Right Area Fo7 (OFC);Fo7 (OFC)
131;la29;Left Area a29 (retrosplenial);a29 (retrosplenial)
132;ra29;Right Area a29 (retrosplenial);a29 (retrosplenial)
133;l45;Left Area 45 (IFG);45 (IFG)
134;r45;Right Area 45 (IFG);45 (IFG)
135;lId1;Left Area Id1 (Insula);Id1 (Insula)
136;rId1;Right Area Id1 (Insula);Id1 (Insula)
137;l5Ci;Left Area 5Ci (SPL);5Ci (SPL)
138;r5Ci;Right Area 5Ci (SPL);5Ci (SPL)
139;lId5;Left Area Id5 (Insula);Id5 (Insula)
140;rId5;Right Area Id5 (Insula);Id5 (Insula)
141;lTE1.2;Left Area TE 1.2 (HESCHL);TE 1.2 (HESCHL)
142;rTE1.2;Right Area TE 1.2 (HESCHL);TE 1.2 (HESCHL)
143;lPGa;Left Area PGa (IPL);PGa (IPL)
144;rPGa;Right Area PGa (IPL);PGa (IPL)
145;lhIP1;Left Area hIP1 (IPS);hIP1 (IPS)
146;rhIP1;Right Area hIP1 (IPS);hIP1 (IPS)
147;l2;Left Area 2 (PostCS);2 (PostCS)
148;r2;Right Area 2 (PostCS);2 (PostCS)
149;lCh123;Left Ch 123 (Basal Forebrain);Ch 123 (Basal Forebrain)
150;rCh123;Right Ch 123 (Basal Forebrain);Ch 123 (Basal Forebrain)
151;lTE2.1;Left Area TE 2.1 (STG);TE 2.1 (STG)
152;rTE2.1;Right Area TE 2.1 (STG);TE 2.1 (STG)
153;lIa;Left Area Ia (Insula);Ia (Insula)
154;rIa;Right Area Ia (Insula);Ia (Insula)
155;lhOc3d;Left Area hOc3d (Cuneus);hOc3d (Cuneus)
156;rhOc3d;Right Area hOc3d (Cuneus);hOc3d (Cuneus)
157;lVTM;Left VTM (Amygdala);VTM (Amygdala)
158;rVTM;Right VTM (Amygdala);VTM (Amygdala)
159;lOP3;Left Area OP3 (POperc);OP3 (POperc)
160;rOP3;Right Area OP3 (POperc);OP3 (POperc)
161;l7A;Left Area 7A (SPL);7A (SPL)
162;r7A;Right Area 7A (SPL);7A (SPL)
163;lOP8;Left Area OP8 (Frontal Operculum);OP8 (Frontal Operculum)
164;rOP8;Right Area OP8 (Frontal Operculum);OP8 (Frontal Operculum)
165;lSubic;Left Subiculum (Hippocampus);Subiculum (Hippocampus)
166;rSubic;Right Subiculum (Hippocampus);Subiculum (Hippocampus)
167;lp29;Left Area p29 (retrosplenial);p29 (retrosplenial)
168;rp29;Right Area p29 (retrosplenial);p29 (retrosplenial)
169;l25;Left Area 25 (sACC);25 (sACC)
170;r25;Right Area 25 (sACC);25 (sACC)
171;lOP5;Left Area OP5 (Frontal Operculum);OP5 (Frontal Operculum)
172;rOP5;Right Area OP5 (Frontal Operculum);OP5 (Frontal Operculum)
173;lCA3;Left CA3 (Hippocampus);CA3 (Hippocampus)
174;rCA3;Right CA3 (Hippocampus);CA3 (Hippocampus)
175;lPFm;Left Area PFm (IPL);PFm (IPL)
176;rPFm;Right Area PFm (IPL);PFm (IPL)
177;lGapF-II;Left GapMap Frontal-II (GapMap);GapMap Frontal-II (GapMap)
178;rGapF-II;Right GapMap Frontal-II (GapMap);GapMap Frontal-II (GapMap)
179;lLB;Left LB (Amygdala);LB (Amygdala)
180;rLB;Right LB (Amygdala);LB (Amygdala)
181;l4a;Left Area 4a (PreCG);4a (PreCG)
182;r4a;Right Area 4a (PreCG);4a (PreCG)
183;lSTS1;Left Area STS1 (STS);STS1 (STS)
184;rSTS1;Right Area STS1 (STS);STS1 (STS)
185;l5L;Left Area 5L (SPL);5L (SPL)
186;r5L;Right Area 5L (SPL);5L (SPL)
187;l5M;Left Area 5M (SPL);5M (SPL)
188;r5M;Right Area 5M (SPL);5M (SPL)
189;lGapF-T;Left GapMap Frontal-to-Temporal (GapMap);GapMap Frontal-to-Temporal (GapMap)
190;rGapF-T;Right GapMap Frontal-to-Temporal (GapMap);GapMap Frontal-to-Temporal (GapMap)
191;lFG3;Left Area FG3 (FusG);FG3 (FusG)
192;rFG3;Right Area FG3 (FusG);FG3 (FusG)
193;li30;Left Area i30 (retrosplenial);i30 (retrosplenial)
194;ri30;Right Area i30 (retrosplenial);i30 (retrosplenial)
195;lp30;Left Area p30 (retrosplenial);p30 (retrosplenial)
196;rp30;Right Area p30 (retrosplenial);p30 (retrosplenial)
197;lFp1;Left Area Fp1 (FPole);Fp1 (FPole)
198;rFp1;Right Area Fp1 (FPole);Fp1 (FPole)
199;la30;Left Area a30 (retrosplenial);a30 (retrosplenial)
200;ra30;Right Area a30 (retrosplenial);a30 (retrosplenial)
201;lFN;Left Fastigial Nucleus (Cerebellum);Fastigial Nucleus (Cerebellum)
202;rFN;Right Fastigial Nucleus (Cerebellum);Fastigial Nucleus (Cerebellum)
203;ls32;Left Area s32 (sACC);s32 (sACC)
204;rs32;Right Area s32 (sACC);s32 (sACC)
205;lMF;Left MF (Amygdala);MF (Amygdala)
206;rMF;Right MF (Amygdala);MF (Amygdala)
207;l3a;Left Area 3a (PostCG);3a (PostCG)
208;r3a;Right Area 3a (PostCG);3a (PostCG)
209;lhOc5;Left Area hOc5 (LOC);hOc5 (LOC)
210;rhOc5;Right Area hOc5 (LOC);hOc5 (LOC)
211;lId7;Left Area Id7 (Insula);Id7 (Insula)
212;rId7;Right Area Id7 (Insula);Id7 (Insula)
213;lFG4;Left Area FG4 (FusG);FG4 (FusG)
214;rFG4;Right Area FG4 (FusG);FG4 (FusG)
215;lIN;Left Interposed Nucleus (Cerebellum);Interposed Nucleus (Cerebellum)
216;rIN;Right Interposed Nucleus (Cerebellum);Interposed Nucleus (Cerebellum)
217;lFo1;Left Area Fo1 (OFC);Fo1 (OFC)
218;rFo1;Right Area Fo1 (OFC);Fo1 (OFC)
219;lSF;Left SF (Amygdala);SF (Amygdala)
220;rSF;Right SF (Amygdala);SF (Amygdala)
221;ls24;Left Area s24 (sACC);s24 (sACC)
222;rs24;Right Area s24 (sACC);s24 (sACC)
223;lFo6;Left Area Fo6 (OFC);Fo6 (OFC)
224;rFo6;Right Area Fo6 (OFC);Fo6 (OFC)
225;lhOc4v;Left Area hOc4v (LingG);hOc4v (LingG)
226;rhOc4v;Right Area hOc4v (LingG);hOc4v (LingG)
227;lPFop;Left Area PFop (IPL);PFop (IPL)
228;rPFop;Right Area PFop (IPL);PFop (IPL)
229;lp32;Left Area p32 (pACC);p32 (pACC)
230;rp32;Right Area p32 (pACC);p32 (pACC)
231;lhOc1;Left Area hOc1 (V1, 17, CalcS);hOc1 (V1, 17, CalcS)
232;rhOc1;Right Area hOc1 (V1, 17, CalcS);hOc1 (V1, 17, CalcS)
233;lFo2;Left Area Fo2 (OFC);Fo2 (OFC)
234;rFo2;Right Area Fo2 (OFC);Fo2 (OFC)
235;lhIP7;Left Area hIP7 (IPS);hIP7 (IPS)
236;rhIP7;Right Area hIP7 (IPS);hIP7 (IPS)
237;lTE2.2;Left Area TE 2.2 (STG);TE 2.2 (STG)
238;rTE2.2;Right Area TE 2.2 (STG);TE 2.2 (STG)
239;li29;Left Area i29 (retrosplenial);i29 (retrosplenial)
240;ri29;Right Area i29 (retrosplenial);i29 (retrosplenial)
241;l7PC;Left Area 7PC (SPL);7PC (SPL)
242;r7PC;Right Area 7PC (SPL);7PC (SPL)
243;lhOc4lp;Left Area hOc4lp (LOC);hOc4lp (LOC)
244;rhOc4lp;Right Area hOc4lp (LOC);hOc4lp (LOC)
245;lTeI;Left Area TeI (STG);TeI (STG)
246;rTeI;Right Area TeI (STG);TeI (STG)
247;lFo3;Left Area Fo3 (OFC);Fo3 (OFC)
248;rFo3;Right Area Fo3 (OFC);Fo3 (OFC)
