ROIid;ROIabbr;ROIname
67;lFG2;Left Area FG2 (FusG)
68;rFG2;Right Area FG2 (FusG)
69;lhIP6;Left Area hIP6 (IPS)
70;rhIP6;Right Area hIP6 (IPS)
75;lBST;Left BST (Basal Forebrain, Bed Nucleus)
76;rBST;Right BST (Basal Forebrain, Bed Nucleus)
73;lTPJ;Left Area TPJ (STG, SMG)
74;rTPJ;Right Area TPJ (STG, SMG)
71;lFo5;Left Area Fo5 (OFC)
72;rFo5;Right Area Fo5 (OFC)
77;lAM;Left AM (Thalamus, anteromedial Nucleus)
78;rAM;Right AM (Thalamus, anteromedial Nucleus)
79;lOp7;Left Area Op7 (Frontal Operculum)
80;rOp7;Right Area Op7 (Frontal Operculum)
81;lhOc6;Left Area hOc6 (POS)
82;rhOc6;Right Area hOc6 (POS)
83;lIa3;Left Area Ia3 (Insula)
84;rIa3;Right Area Ia3 (Insula)
85;lIg2;Left Area Ig2 (Insula)
86;rIg2;Right Area Ig2 (Insula)
87;lCA2;Left CA2 (Hippocampus)
88;rCA2;Right CA2 (Hippocampus)
91;lFp2;Left Area Fp2 (FPole)
92;rFp2;Right Area Fp2 (FPole)
89;lVLP;Left VLP (Thalamus, ventral lateral posterior Nucleus)
90;rVLP;Right VLP (Thalamus, ventral lateral posterior Nucleus)
93;lLi;Left Li (Thalamus, limitans Nucleus)
94;rLi;Right Li (Thalamus, limitans Nucleus)
95;lEC;Left Area EC (Hippocampal Region, Entorhinal Cortex)
96;rEC;Right Area EC (Hippocampal Region, Entorhinal Cortex)
97;lId4;Left Area Id4 (Insula)
98;rId4;Right Area Id4 (Insula)
101;lTu;Left Tu (Basal Forebrain, Tuberculum)
102;rTu;Right Tu (Basal Forebrain, Tuberculum)
99;lOp1;Left Area Op1 (POperc)
100;rOp1;Right Area Op1 (POperc)
105;lId6;Left Area Id6 (Insula)
106;rId6;Right Area Id6 (Insula)
103;lRt;Left Rt (Thalamus, reticular Nucleus)
104;rRt;Right Rt (Thalamus, reticular Nucleus)
107;lIFS4;Left Area IFS4 (IFS)
108;rIFS4;Right Area IFS4 (IFS)
109;l6d3;Left Area 6d3 (SFS)
110;r6d3;Right Area 6d3 (SFS)
111;lNdentv;Left Ndentv (Cerebellum, Ventral Dentate Nucleus)
112;rNdentv;Right Ndentv (Cerebellum, Ventral Dentate Nucleus)
113;l6v1;Left Area 6v1 (PreCG)
114;r6v1;Right Area 6v1 (PreCG)
115;lhIP2;Left Area hIP2 (IPS)
116;rhIP2;Right Area hIP2 (IPS)
117;l44;Left Area 44 (IFG)
118;r44;Right Area 44 (IFG)
119;lFo7;Left Area Fo7 (OFC)
120;rFo7;Right Area Fo7 (OFC)
121;lPv;Left Pv (Thalamus, paraventricular Nucleus)
122;rPv;Right Pv (Thalamus, paraventricular Nucleus)
123;lPGa;Left Area PGa (IPL)
124;rPGa;Right Area PGa (IPL)
125;lPUa;Left PUa (Thalamus, anterior pulvinar)
126;rPUa;Right PUa (Thalamus, anterior pulvinar)
127;l8d2;Left Area 8d2 (SFG)
128;r8d2;Right Area 8d2 (SFG)
129;lIa1;Left Area Ia1 (Insula)
130;rIa1;Right Area Ia1 (Insula)
131;lVTM;Left VTM (Amygdala)
132;rVTM;Right VTM (Amygdala)
133;lOp8;Left Area Op8 (Frontal Operculum)
134;rOp8;Right Area Op8 (Frontal Operculum)
137;lIFJ2;Left Area IFJ2 (IFS, PreCS)
138;rIFJ2;Right Area IFJ2 (IFS, PreCS)
135;lFuP;Left FuP (Ventral Striatum, Fundus of Putamen)
136;rFuP;Right FuP (Ventral Striatum, Fundus of Putamen)
141;l25;Left Area 25 (sACC)
142;r25;Right Area 25 (sACC)
139;l7M;Left Area 7M (SPL)
140;r7M;Right Area 7M (SPL)
145;lPFm;Left Area PFm (IPL)
146;rPFm;Right Area PFm (IPL)
143;lOp5;Left Area Op5 (Frontal Operculum)
144;rOp5;Right Area Op5 (Frontal Operculum)
147;lMD;Left MD (Thalamus, mediodorsal Nucleus)
148;rMD;Right MD (Thalamus, mediodorsal Nucleus)
149;lLB;Left LB (Amygdala)
150;rLB;Right LB (Amygdala)
151;l4a;Left Area 4a (PreCG)
152;r4a;Right Area 4a (PreCG)
153;l5M;Left Area 5M (SPL)
154;r5M;Right Area 5M (SPL)
155;lOp10;Left Area Op10 (Frontal Operculum)
156;rOp10;Right Area Op10 (Frontal Operculum)
157;lPf;Left Pf (Thalamus, parafascicular Nucleus)
158;rPf;Right Pf (Thalamus, parafascicular Nucleus)
159;lFp1;Left Area Fp1 (FPole)
160;rFp1;Right Area Fp1 (FPole)
161;lPUl;Left PUl (Thalamus, lateral pulvinar)
162;rPUl;Right PUl (Thalamus, lateral pulvinar)
163;lMFG2;Left Area MFG2 (MFG)
164;rMFG2;Right Area MFG2 (MFG)
167;l3a;Left Area 3a (PostCG)
168;r3a;Right Area 3a (PostCG)
165;lPh1;Left Area Ph1 (PhG)
166;rPh1;Right Area Ph1 (PhG)
171;lId7;Left Area Id7 (Insula)
172;rId7;Right Area Id7 (Insula)
169;lFG4;Left Area FG4 (FusG)
170;rFG4;Right Area FG4 (FusG)
173;lNinterp;Left Ninterp (Cerebellum, Interposed Nucleus)
174;rNinterp;Right Ninterp (Cerebellum, Interposed Nucleus)
175;lSTN;Left STN (Subthalamus)
176;rSTN;Right STN (Subthalamus)
177;lFo6;Left Area Fo6 (OFC)
178;rFo6;Right Area Fo6 (OFC)
179;lp32;Left Area p32 (pACC)
180;rp32;Right Area p32 (pACC)
183;lCGL;Left CGL (Metathalamus)
184;rCGL;Right CGL (Metathalamus)
181;lhOc1;Left Area hOc1 (V1, 17, CalcS)
182;rhOc1;Right Area hOc1 (V1, 17, CalcS)
189;l8v1;Left Area 8v1 (MFG)
190;r8v1;Right Area 8v1 (MFG)
187;lPh3;Left Area Ph3 (PhG)
188;rPh3;Right Area Ph3 (PhG)
185;lSNC;Left SNC (Midbrain, Substantia Nigra pars compacta)
186;rSNC;Right SNC (Midbrain, Substantia Nigra pars compacta)
193;lSFG2;Left Area SFG2 (SFG)
194;rSFG2;Right Area SFG2 (SFG)
191;lhOc4lp;Left Area hOc4lp (LOC)
192;rhOc4lp;Right Area hOc4lp (LOC)
195;lFo3;Left Area Fo3 (OFC)
196;rFo3;Right Area Fo3 (OFC)
197;lTe1.1;Left Area Te 1.1 (HESCHL)
198;rTe1.1;Right Area Te 1.1 (HESCHL)
199;lMFG5;Left Area MFG5 (MFG, IFG)
200;rMFG5;Right Area MFG5 (MFG, IFG)
201;lhOc2;Left Area hOc2 (V2, 18)
202;rhOc2;Right Area hOc2 (V2, 18)
203;lMFG4;Left Area MFG4 (MFG)
204;rMFG4;Right Area MFG4 (MFG)
205;lLP;Left LP (Thalamus, lateral posterior Nucleus)
206;rLP;Right LP (Thalamus, lateral posterior Nucleus)
207;l6d2;Left Area 6d2 (PreCG)
208;r6d2;Right Area 6d2 (PreCG)
209;lIg3;Left Area Ig3 (Insula)
210;rIg3;Right Area Ig3 (Insula)
211;lhOc4d;Left Area hOc4d (Cuneus)
212;rhOc4d;Right Area hOc4d (Cuneus)
213;lSFG3;Left Area SFG3 (SFG)
214;rSFG3;Right Area SFG3 (SFG)
215;l6v3;Left Area 6v3 (PreCG)
216;r6v3;Right Area 6v3 (PreCG)
217;lNRm;Left NRm (Midbrain, Nucleus Ruber, magnocellular part)
218;rNRm;Right NRm (Midbrain, Nucleus Ruber, magnocellular part)
219;lFo4;Left Area Fo4 (OFC)
220;rFo4;Right Area Fo4 (OFC)
221;lIFS1;Left Area IFS1 (IFS)
222;rIFS1;Right Area IFS1 (IFS)
223;lOp4;Left Area Op4 (POperc)
224;rOp4;Right Area Op4 (POperc)
225;lCh4;Left Ch 4 (Basal Forebrain)
226;rCh4;Right Ch 4 (Basal Forebrain)
227;lhPO1;Left Area hPO1 (POS)
228;rhPO1;Right Area hPO1 (POS)
229;lNdentd;Left Ndentd (Cerebellum, Dorsal Dentate Nucleus)
230;rNdentd;Right Ndentd (Cerebellum, Dorsal Dentate Nucleus)
231;lIFS3;Left Area IFS3 (IFS)
232;rIFS3;Right Area IFS3 (IFS)
233;lOp2;Left Area Op2 (POperc)
234;rOp2;Right Area Op2 (POperc)
235;l8v2;Left Area 8v2 (MFG)
236;r8v2;Right Area 8v2 (MFG)
237;lAcbM;Left AcbM (Ventral Striatum, Medial Accumbens)
238;rAcbM;Right AcbM (Ventral Striatum, Medial Accumbens)
239;lDG;Left DG (Hippocampus)
240;rDG;Right DG (Hippocampus)
241;lPGp;Left Area PGp (IPL)
242;rPGp;Right Area PGp (IPL)
243;l6ma;Left Area 6ma (preSMA, mesial SFG)
244;r6ma;Right Area 6ma (preSMA, mesial SFG)
245;lIg1;Left Area Ig1 (Insula)
246;rIg1;Right Area Ig1 (Insula)
247;lId10;Left Area Id10 (Insula)
248;rId10;Right Area Id10 (Insula)
249;lVM;Left VM (Thalamus, ventral medial Nucleus)
250;rVM;Right VM (Thalamus, ventral medial Nucleus)
251;lp24c;Left Area p24c (pACC)
252;rp24c;Right Area p24c (pACC)
253;lhOc3v;Left Area hOc3v (LingG)
254;rhOc3v;Right Area hOc3v (LingG)
255;lPFcm;Left Area PFcm (IPL)
256;rPFcm;Right Area PFcm (IPL)
259;lPirT;Left Area PirT (PiriformCortexMesial, temporal)
260;rPirT;Right Area PirT (PiriformCortexMesial, temporal)
257;lSFS2;Left Area SFS2 (SFS)
258;rSFS2;Right Area SFS2 (SFS)
263;lhIP5;Left Area hIP5 (IPS)
264;rhIP5;Right Area hIP5 (IPS)
261;lCM;Left CM (Thalamus, centromedian Nucleus)
262;rCM;Right CM (Thalamus, centromedian Nucleus)
265;lSFS1;Left Area SFS1 (SFS)
266;rSFS1;Right Area SFS1 (SFS)
269;lFrontal-to-Temporal-I;Left Frontal-to-Temporal-I (GapMap)
270;rFrontal-to-Temporal-I;Right Frontal-to-Temporal-I (GapMap)
267;lFG1;Left Area FG1 (FusG)
268;rFG1;Right Area FG1 (FusG)
271;lFuCd;Left FuCd (Ventral Striatum, Fundus of Caudate Nucleus)
272;rFuCd;Right FuCd (Ventral Striatum, Fundus of Caudate Nucleus)
275;lMV;Left MV (Thalamus, medioventral Nucleus)
276;rMV;Right MV (Thalamus, medioventral Nucleus)
273;lVAmc;Left VAmc (Thalamus, ventral anterior Nucleus, magnocellular part)
274;rVAmc;Right VAmc (Thalamus, ventral anterior Nucleus, magnocellular part)
279;lFrontal-I.2;Left Frontal-I.2 (GapMap)
280;rFrontal-I.2;Right Frontal-I.2 (GapMap)
277;lhIP3;Left Area hIP3 (IPS)
278;rhIP3;Right Area hIP3 (IPS)
281;lCM;Left CM (Amygdala)
282;rCM;Right CM (Amygdala)
283;l4p;Left Area 4p (PreCG)
284;r4p;Right Area 4p (PreCG)
285;l33;Left Area 33 (ACC)
286;r33;Right Area 33 (ACC)
287;lOTS1;Left Area OTS1 (OTS)
288;rOTS1;Right Area OTS1 (OTS)
289;lId2;Left Area Id2 (Insula)
290;rId2;Right Area Id2 (Insula)
291;lCA1;Left CA1 (Hippocampus)
292;rCA1;Right CA1 (Hippocampus)
293;lFrontal-I.1;Left Frontal-I.1 (GapMap)
294;rFrontal-I.1;Right Frontal-I.1 (GapMap)
295;lhIP8;Left Area hIP8 (IPS)
296;rhIP8;Right Area hIP8 (IPS)
299;lOp9;Left Area Op9 (Frontal Operculum)
300;rOp9;Right Area Op9 (Frontal Operculum)
297;lIF;Left IF (Amygdala)
298;rIF;Right IF (Amygdala)
303;lTemporal-to-Parietal;Left Temporal-to-Parietal (GapMap)
304;rTemporal-to-Parietal;Right Temporal-to-Parietal (GapMap)
301;lVIM;Left VIM (Thalamus, ventral intermediate Nucleus)
302;rVIM;Right VIM (Thalamus, ventral intermediate Nucleus)
305;lHATA;Left HATA (Hippocampus)
306;rHATA;Right HATA (Hippocampus)
307;lTuTi;Left TuTi (Basal Forebrain, Terminal islands)
308;rTuTi;Right TuTi (Basal Forebrain, Terminal islands)
309;l45;Left Area 45 (IFG)
310;r45;Right Area 45 (IFG)
319;lId1;Left Area Id1 (Insula)
320;rId1;Right Area Id1 (Insula)
317;lIa2;Left Area Ia2 (Insula)
318;rIa2;Right Area Ia2 (Insula)
315;lFrontal-to-Temporal-II;Left Frontal-to-Temporal-II (GapMap)
316;rFrontal-to-Temporal-II;Right Frontal-to-Temporal-II (GapMap)
313;l5Ci;Left Area 5Ci (SPL)
314;r5Ci;Right Area 5Ci (SPL)
311;lCL;Left CL (Thalamus, anterior intralaminar nuclei)
312;rCL;Right CL (Thalamus, anterior intralaminar nuclei)
323;lId5;Left Area Id5 (Insula)
324;rId5;Right Area Id5 (Insula)
321;lTe1.2;Left Area Te 1.2 (HESCHL)
322;rTe1.2;Right Area Te 1.2 (HESCHL)
325;lhIP1;Left Area hIP1 (IPS)
326;rhIP1;Right Area hIP1 (IPS)
327;l2;Left Area 2 (PostCS)
328;r2;Right Area 2 (PostCS)
333;lTe2.1;Left Area Te 2.1 (STG)
334;rTe2.1;Right Area Te 2.1 (STG)
331;lCh123;Left Ch 123 (Basal Forebrain)
332;rCh123;Right Ch 123 (Basal Forebrain)
329;lhOc3d;Left Area hOc3d (Cuneus)
330;rhOc3d;Right Area hOc3d (Cuneus)
341;lOp3;Left Area Op3 (POperc)
342;rOp3;Right Area Op3 (POperc)
339;l7A;Left Area 7A (SPL)
340;r7A;Right Area 7A (SPL)
337;lSg;Left Sg (Thalamus, suprageniculate Nucleus)
338;rSg;Right Sg (Thalamus, suprageniculate Nucleus)
335;lVPL;Left VPL (Thalamus, ventral posterior lateral Nucleus)
336;rVPL;Right VPL (Thalamus, ventral posterior lateral Nucleus)
343;lSubc;Left Subc (Hippocampus, Subicular complex)
344;rSubc;Right Subc (Hippocampus, Subicular complex)
345;lTrS;Left TrS (Hippocampus, Transsubiculum)
346;rTrS;Right TrS (Hippocampus, Transsubiculum)
347;lCA3;Left CA3 (Hippocampus)
348;rCA3;Right CA3 (Hippocampus)
349;lFrontal-II;Left Frontal-II (GapMap)
350;rFrontal-II;Right Frontal-II (GapMap)
351;lVLA;Left VLA (Thalamus, ventral lateral anterior Nucleus)
352;rVLA;Right VLA (Thalamus, ventral lateral anterior Nucleus)
353;lSTS1;Left Area STS1 (STS)
354;rSTS1;Right Area STS1 (STS)
359;lId9;Left Area Id9 (Insula)
360;rId9;Right Area Id9 (Insula)
357;l5L;Left Area 5L (SPL)
358;r5L;Right Area 5L (SPL)
355;lVPM;Left VPM (Thalamus, ventral posterior medial Nucleus)
356;rVPM;Right VPM (Thalamus, ventral posterior medial Nucleus)
361;lSNR;Left SNR (Midbrain, Substantia Nigra pars reticulata)
362;rSNR;Right SNR (Midbrain, Substantia Nigra pars reticulata)
365;lIFS2;Left Area IFS2 (IFS)
366;rIFS2;Right Area IFS2 (IFS)
363;lFG3;Left Area FG3 (FusG)
364;rFG3;Right Area FG3 (FusG)
367;lAV;Left AV (Thalamus, anteroventral Nucleus)
368;rAV;Right AV (Thalamus, anteroventral Nucleus)
369;lVP;Left VP (Ventral Pallidum)
370;rVP;Right VP (Ventral Pallidum)
373;lNfast;Left Nfast (Cerebellum, Fastigial Nucleus)
374;rNfast;Right Nfast (Cerebellum, Fastigial Nucleus)
371;ls32;Left Area s32 (sACC)
372;rs32;Right Area s32 (sACC)
375;lMF;Left MF (Amygdala)
376;rMF;Right MF (Amygdala)
377;lhOc5;Left Area hOc5 (LOC)
378;rhOc5;Right Area hOc5 (LOC)
379;lsPf;Left sPf (Thalamus, subparafascicular Nucleus)
380;rsPf;Right sPf (Thalamus, subparafascicular Nucleus)
383;lFo1;Left Area Fo1 (OFC)
384;rFo1;Right Area Fo1 (OFC)
381;lSF;Left SF (Amygdala)
382;rSF;Right SF (Amygdala)
393;ls24;Left Area s24 (sACC)
394;rs24;Right Area s24 (sACC)
391;lIFJ1;Left Area IFJ1 (IFS, PreCS)
392;rIFJ1;Right Area IFJ1 (IFS, PreCS)
389;l8d1;Left Area 8d1 (SFG)
390;r8d1;Right Area 8d1 (SFG)
387;lVPi;Left VPi (Thalamus, ventroposterior inferior Nucleus)
388;rVPi;Right VPi (Thalamus, ventroposterior inferior Nucleus)
385;lVPMpc;Left VPMpc (Thalamus, ventral posterior medial Nucleus, parvocellular part)
386;rVPMpc;Right VPMpc (Thalamus, ventral posterior medial Nucleus, parvocellular part)
397;lPFop;Left Area PFop (IPL)
398;rPFop;Right Area PFop (IPL)
395;lhOc4v;Left Area hOc4v (LingG)
396;rhOc4v;Right Area hOc4v (LingG)
401;lPh2;Left Area Ph2 (PhG)
402;rPh2;Right Area Ph2 (PhG)
399;l6v2;Left Area 6v2 (PreCG)
400;r6v2;Right Area 6v2 (PreCG)
405;lFo2;Left Area Fo2 (OFC)
406;rFo2;Right Area Fo2 (OFC)
403;lAcbL;Left AcbL (Ventral Striatum, Lateral Accumbens)
404;rAcbL;Right AcbL (Ventral Striatum, Lateral Accumbens)
409;lhIP7;Left Area hIP7 (IPS)
410;rhIP7;Right Area hIP7 (IPS)
407;lTe2.2;Left Area Te 2.2 (STG)
408;rTe2.2;Right Area Te 2.2 (STG)
411;l7PC;Left Area 7PC (SPL)
412;r7PC;Right Area 7PC (SPL)
413;lTeI;Left Area TeI (STG)
414;rTeI;Right Area TeI (STG)
