ROIid;ROIname;Vgm;Vwm;Vcsf;ROIcolor
156;Right OCP occipital pole;1;0;0;255 177 100
157;Left OCP occipital pole;1;0;0;255 177 100
160;Right OFuG occipital fusiform gyrus;1;0;0;0 255 255
161;Left OFuG occipital fusiform gyrus;1;0;0;0 255 255
162;Right OpIFG opercular part of the inferior frontal gyrus;1;0;0;255 0 255
163;Left OpIFG opercular part of the inferior frontal gyrus;1;0;0;255 0 255
164;Right OrIFG orbital part of the inferior frontal gyrus;1;0;0;102 0 0
165;Left OrIFG orbital part of the inferior frontal gyrus;1;0;0;102 0 0
166;Right PCgG posterior cingulate gyrus;1;0;0;0 102 0
167;Left PCgG posterior cingulate gyrus;1;0;0;0 102 0
168;Right PCu precuneus;1;0;0;255 215 0
169;Left PCu precuneus;1;0;0;255 215 0
170;Right PHG parahippocampal gyrus;1;0;0;0 204 0
171;Left PHG parahippocampal gyrus;1;0;0;0 204 0
172;Right PIns posterior insula;1;0;0;255 0 0
173;Left PIns posterior insula;1;0;0;255 0 0
174;Right PO parietal operculum;1;0;0;102 102 255
175;Left PO parietal operculum;1;0;0;102 102 255
176;Right PoG postcentral gyrus;1;0;0;255 177 100
177;Left PoG postcentral gyrus;1;0;0;255 177 100
178;Right POrG posterior orbital gyrus;1;0;0;0 255 255
179;Left POrG posterior orbital gyrus;1;0;0;0 255 255
180;Right PP planum polare;1;0;0;255 0 255
181;Left PP planum polare;1;0;0;255 0 255
182;Right PrG precentral gyrus;1;0;0;102 0 0
183;Left PrG precentral gyrus;1;0;0;102 0 0
184;Right PT planum temporale;1;0;0;0 102 0
185;Left PT planum temporale;1;0;0;0 102 0
186;Right SCA subcallosal area;1;0;0;255 215 0
187;Left SCA subcallosal area;1;0;0;255 215 0
190;Right SFG superior frontal gyrus;1;0;0;0 204 0
191;Left SFG superior frontal gyrus;1;0;0;0 204 0
192;Right SMC supplementary motor cortex;1;0;0;255 0 0
193;Left SMC supplementary motor cortex;1;0;0;255 0 0
194;Right SMG supramarginal gyrus;1;0;0;102 102 255
195;Left SMG supramarginal gyrus;1;0;0;102 102 255
196;Right SOG superior occipital gyrus;1;0;0;255 177 100
197;Left SOG superior occipital gyrus;1;0;0;255 177 100
198;Right SPL superior parietal lobule;1;0;0;0 255 255
199;Left SPL superior parietal lobule;1;0;0;0 255 255
200;Right STG superior temporal gyrus;1;0;0;255 0 255
201;Left STG superior temporal gyrus;1;0;0;255 0 255
202;Right TMP temporal pole;1;0;0;102 0 0
203;Left TMP temporal pole;1;0;0;102 0 0
204;Right TrIFG triangular part of the inferior frontal gyrus;1;0;0;0 102 0
205;Left TrIFG triangular part of the inferior frontal gyrus;1;0;0;0 102 0
206;Right TTG transverse temporal gyrus;1;0;0;255 215 0
207;Left TTG transverse temporal gyrus;1;0;0;255 215 0
