ROIid;ROIappr;ROIname;ROIbase
25;lAntCinG;Left Anterior Cinguli Gyrus;Left Gyrus cinguli anterior part  & Right Gyrus cinguli anterior part 
26;rAntCinG;Right Anterior Cinguli Gyrus;Left Gyrus cinguli anterior part  & Right Gyrus cinguli anterior part 
27;lPosCinG;Left Posterior Cinguli Gyrus;Left Gyrus cinguli posterior part  & Right Gyrus cinguli posterior part 
28;rPosCinG;Right Posterior Cinguli Gyrus;Left Gyrus cinguli posterior part  & Right Gyrus cinguli posterior part 
29;lMidFroG;Left Middle Frontal Gyrus;Left Middle frontal gyrus  & Right Middle frontal gyrus 
30;rMidFroG;Right Middle Frontal Gyrus;Left Middle frontal gyrus  & Right Middle frontal gyrus 
31;lPosTemL;Left Posterior Temporal Lobe;Left Posterior temporal lobe  & Right Posterior temporal lobe 
32;rPosTemL;Right Posterior Temporal Lobe;Left Posterior temporal lobe  & Right Posterior temporal lobe 
33;lLatParL;Left Lateral Parietal Lobe;Left Inferolateral remainder of parietal lobe  & Right Inferolateral remainder of parietal lobe 
34;rLatParL;Right Lateral Parietal Lobe;Left Inferolateral remainder of parietal lobe  & Right Inferolateral remainder of parietal lobe 
35;lCauNuc;Left Caudate Nucleus;Left Caudate nucleus  & Right Caudate nucleus 
36;rCauNuc;Right Caudate Nucleus;Left Caudate nucleus  & Right Caudate nucleus 
37;lAccNuc;Left Accumbens Nucleus;Left Nucleus accumbens  & Right Nucleus accumbens 
38;rAccNuc;Right Accumbens Nucleus;Left Nucleus accumbens  & Right Nucleus accumbens 
39;lPut;Left Putamen;Left Putamen  & Right Putamen 
40;rPut;Right Putamen;Left Putamen  & Right Putamen 
41;lTha;Left Thalamus;Left Thalamus  & Right Thalamus 
42;rTha;Right Thalamus;Left Thalamus  & Right Thalamus 
43;lPal;Left Pallidum;Left Pallidum  & Right Pallidum 
44;rPal;Right Pallidum;Left Pallidum  & Right Pallidum 
45;lCC;Left Corpus Callosum;Corpus callosum 
46;rCC;Right Corpus Callosum;Corpus callosum 
47;lLatTemV;Left Lateral Temporal Ventricle;Right Lateral ventricle (excluding temporal horn)  & Left Lateral ventricle (excluding temporal horn)  & Right Lateral ventricle temporal horn  & Left Lateral ventricle temporal horn 
48;rLatTemV;Right Lateral Temporal Ventricle;Right Lateral ventricle (excluding temporal horn)  & Left Lateral ventricle (excluding temporal horn)  & Right Lateral ventricle temporal horn  & Left Lateral ventricle temporal horn 
49;l3thV;Left Third Ventricle;Third ventricle 
50;r3thV;Right Third Ventricle;Third ventricle 
51;lPrcG;Left Precentral Gyrus;Left Precentral gyrus  & Right Precentral gyrus 
52;rPrcG;Right Precentral Gyrus;Left Precentral gyrus  & Right Precentral gyrus 
53;lRecG;Left Rectus Gyrus;Left Gyrus rectus  & Right Gyrus rectus 
54;rRecG;Right Rectus Gyrus;Left Gyrus rectus  & Right Gyrus rectus 
55;lFroG;Left Frontal Gyri;Left Orbitofrontal gyri  & Right Orbitofrontal gyri 
56;rFroG;Right Frontal Gyri;Left Orbitofrontal gyri  & Right Orbitofrontal gyri 
57;lInfFroG;Left Inferior Frontal Gyrus;Left Inferior frontal gyrus  & Right Inferior frontal gyrus 
58;rInfFroG;Right Inferior Frontal Gyrus;Left Inferior frontal gyrus  & Right Inferior frontal gyrus 
59;lSupFroG;Left Superior Frontal Gyrus;Left Superior frontal gyrus  & Right Superior frontal gyrus 
60;rSupFroG;Right Superior Frontal Gyrus;Left Superior frontal gyrus  & Right Superior frontal gyrus 
61;lPoCG;Left Postcentral Gyrus;Left Postcentral gyrus  & Right Postcentral gyrus 
62;rPoCG;Right Postcentral Gyrus;Left Postcentral gyrus  & Right Postcentral gyrus 
63;lSupParG;Left Superior Parietal Gyrus;Left Superior parietal gyrus  & Right Superior parietal gyrus 
64;rSupParG;Right Superior Parietal Gyrus;Left Superior parietal gyrus  & Right Superior parietal gyrus 
65;lLinG;Left Lingual Gyrus;Left Lingual gyrus  & Right Lingual gyrus 
66;rLinG;Right Lingual Gyrus;Left Lingual gyrus  & Right Lingual gyrus 
67;lCun;Left Cuneus;Left Cuneus  & Right Cuneus 
68;rCun;Right Cuneus;Left Cuneus  & Right Cuneus 
