ROIid;ROIappr;ROIname;ROIoname
70;rLVerCbe9V;Right Lobe Vermis Lobule IX (Vermis);Lobule IX (Vermis) 
71;lLCbe5;Left Lobe Lobule V ;Lobule V 
72;rLCbe5;Right Lobe Lobule V ;Lobule V 
73;lLCbe6H;Left Lobe Lobule VI (Hem);Lobule VI (Hem) 
74;rLCbe6H;Right Lobe Lobule VI (Hem);Lobule VI (Hem) 
75;lLVerCbe6V;Left Lobe Vermis Lobule VI (Vermis);Lobule VI (Vermis) 
76;rLVerCbe6V;Right Lobe Vermis Lobule VI (Vermis);Lobule VI (Vermis) 
77;lLCbe8aH;Left Lobe Lobule VIIIa (Hem);Lobule VIIIa (Hem) 
78;rLCbe8aH;Right Lobe Lobule VIIIa (Hem);Lobule VIIIa (Hem) 
79;lLVerCbe8aV;Left Lobe Vermis Lobule VIIIa (Vermis);Lobule VIIIa (Vermis) 
80;rLVerCbe8aV;Right Lobe Vermis Lobule VIIIa (Vermis);Lobule VIIIa (Vermis) 
81;lLCbe8bH;Left Lobe Lobule VIIIb (Hem);Lobule VIIIb (Hem) 
82;rLCbe8bH;Right Lobe Lobule VIIIb (Hem);Lobule VIIIb (Hem) 
83;lLVerCbe8bV;Left Lobe Vermis Lobule VIIIb (Vermis);Lobule VIIIb (Vermis) 
84;rLVerCbe8bV;Right Lobe Vermis Lobule VIIIb (Vermis);Lobule VIIIb (Vermis) 
85;lLCbe7a1H;Left Lobe Lobule VIIa Crus I (Hem);Lobule VIIa Crus I (Hem) 
86;rLCbe7a1H;Right Lobe Lobule VIIa Crus I (Hem);Lobule VIIa Crus I (Hem) 
87;lLVerCbe7a1V;Left Lobe Vermis Lobule VIIa Crus I (Vermis);Lobule VIIa Crus I (Vermis) 
88;rLVerCbe7a1V;Right Lobe Vermis Lobule VIIa Crus I (Vermis);Lobule VIIa Crus I (Vermis) 
89;lLCbe7a2H;Left Lobe Lobule VIIa Crus II (Hem);Lobule VIIa Crus II (Hem) 
90;rLCbe7a2H;Right Lobe Lobule VIIa Crus II (Hem);Lobule VIIa Crus II (Hem) 
91;lLVerCbe7a2V;Left Lobe Vermis Lobule VIIa Crus II (Vermis);Lobule VIIa Crus II (Vermis) 
92;rLVerCbe7a2V;Right Lobe Vermis Lobule VIIa Crus II (Vermis);Lobule VIIa Crus II (Vermis) 
93;lLCbe7b;Left Lobe Lobule VIIb (Hem);Lobule VIIb (Hem) 
94;rLCbe7b;Right Lobe Lobule VIIb (Hem);Lobule VIIb (Hem) 
95;lLVerCbe7b;Left Lobe Vermis Lobule VIIb (Vermis);Lobule VIIb (Vermis) 
96;rLVerCbe7b;Right Lobe Vermis Lobule VIIb (Vermis);Lobule VIIb (Vermis) 
97;lLCbe10H;Left Lobe Lobule X (Hem);Lobule X (Hem) 
98;rLCbe10H;Right Lobe Lobule X (Hem);Lobule X (Hem) 
99;lLVerCbe10V;Left Lobe Vermis Lobule X (Vermis);Lobule X (Vermis) 
100;rLVerCbe10V;Right Lobe Vermis Lobule X (Vermis);Lobule X (Vermis) 
101;lLCbe1_4H;Left Lobe Lobules I-IV (Hem);Lobules I-IV (Hem) 
102;rLCbe1_4H;Right Lobe Lobules I-IV (Hem);Lobules I-IV (Hem) 
103;lMedBod;Left Medial (Body);Medial geniculate body 
104;rMedBod;Right Medial (Body);Medial geniculate body 
105;lOP1;Left OP 1;OP 1 
106;rOP1;Right OP 1;OP 1 
107;lOP2;Left OP 2;OP 2 
108;rOP2;Right OP 2;OP 2 
109;lOP3;Left OP 3;OP 3 
110;rOP3;Right OP 3;OP 3 
111;lOP4;Left OP 4;OP 4 
112;rOP4;Right OP 4;OP 4 
113;lSPL5Ci;Left SPL (5Ci);SPL (5Ci) 
114;rSPL5Ci;Right SPL (5Ci);SPL (5Ci) 
115;lSPL5L;Left SPL (5L);SPL (5L) 
116;rSPL5L;Right SPL (5L);SPL (5L) 
117;lSPL5M;Left SPL (5M);SPL (5M) 
118;rSPL5M;Right SPL (5M);SPL (5M) 
119;lSPL7A;Left SPL (7A);SPL (7A) 
120;rSPL7A;Right SPL (7A);SPL (7A) 
121;lSPL7M;Left SPL (7M);SPL (7M) 
122;rSPL7M;Right SPL (7M);SPL (7M) 
123;lSPL7P;Left SPL (7P);SPL (7P) 
124;rSPL7P;Right SPL (7P);SPL (7P) 
125;lSPL7PC;Left SPL (7PC);SPL (7PC) 
126;rSPL7PC;Right SPL (7PC);SPL (7PC) 
127;lSup;Left Superior;Superior longitudinal fascicle 
128;rSup;Right Superior;Superior longitudinal fascicle 
129;lSupFro;Left Superior Frontal;Superior occipito-frontal fascicle 
130;rSupFro;Right Superior Frontal;Superior occipito-frontal fascicle 
131;lTE10;Left TE 1.0;TE 1.0 
132;rTE10;Right TE 1.0;TE 1.0 
133;lTE11;Left TE 1.1;TE 1.1 
134;rTE11;Right TE 1.1;TE 1.1 
135;lTE12;Left TE 1.2;TE 1.2 
136;rTE12;Right TE 1.2;TE 1.2 
137;lTE3;Left TE 3;TE 3 
138;rTE3;Right TE 3;TE 3 
139;lhIP1;Left hIP1;hIP1 
140;rhIP1;Right hIP1;hIP1 
141;lhIP2;Left hIP2;hIP2 
142;rhIP2;Right hIP2;hIP2 
143;lhIP3;Left hIP3;hIP3 
144;rhIP3;Right hIP3;hIP3 
145;lhOC3v;Left hOC3v (V3v);hOC3v (V3v) 
146;rhOC3v;Right hOC3v (V3v);hOC3v (V3v) 
147;lhOC4;Left hOC4v (V4);hOC4v (V4) 
148;rhOC4;Right hOC4v (V4);hOC4v (V4) 
